0,1,2,3
2.971277,0.99935275,-0.37005448,0.115060054
2.760738,0.9990707,0.61552095,0.19004501
2.7907066,0.99363506,1.0883629,0.10519998
2.775569,0.8868368,-2.2288885,0.042964183
3.2928433,0.9540291,0.8791826,0.14199466
3.1301885,0.9690736,-0.06721568,0.17337464
4.097592,0.9955591,1.2307317,0.15707377
2.2540085,0.99899906,1.7704246,0.07668961
4.5965834,0.998654,2.1921504,0.122803785
4.0755935,0.99789536,-2.9210684,0.20635721
3.7695107,0.99858093,-1.8149319,0.1690785
3.2767484,0.99843425,-1.052774,0.04309171
4.075228,0.998982,-0.21629715,0.15552457
2.9167354,0.9974577,1.2559316,0.08040278
3.1376216,0.9966642,2.3033798,0.10937739
2.5309763,0.9977829,-2.9188159,0.08060931
3.0911639,0.9986292,-2.4532225,0.0780842
4.2989693,0.9996941,-1.7321404,0.08059934
3.1398308,0.9996239,-1.0895846,0.11934122
3.5996356,0.99983597,-0.44900608,0.08617075
2.9902482,0.99942625,0.098665714,0.08470311
3.177316,0.9998555,0.64600444,0.13493466
1.994936,0.99980384,1.0582545,0.13943602
2.7791824,0.99971,1.4206436,0.1536451
2.9385114,0.99957794,1.7525618,0.089671254
3.1547132,0.9995559,1.897464,0.05992099
3.5006788,0.99944156,2.2380235,0.09668655
3.4014616,0.9910902,-3.1358974,0.00978681
2.4311287,0.99965477,2.5772784,0.05861151
2.9523287,0.99957365,2.7304718,0.12168039
3.616649,0.98564374,2.9740455,0.009072392
4.188774,0.999767,-2.7316506,0.15729833
3.4791389,0.9998896,-1.924687,0.14846705
3.2950597,0.9999312,-1.2463089,0.1235222
1.9068894,0.9999138,-0.828217,0.054584235
3.4139562,0.99997497,-0.33782792,0.12984607
3.0264566,0.99998176,0.2791481,0.08641663
2.4894586,0.9999714,0.76191473,0.05893719
3.7931414,0.99997747,1.2641981,0.08480257
4.1924806,0.99995136,2.308007,0.11039727
3.1392493,0.99998367,-2.7906187,0.12645617
3.472884,0.99256027,3.1412752,0.004417499
3.6044393,0.9998976,-1.5480136,0.13341735
2.508264,0.99998224,-0.5464122,0.10116522
3.1703794,0.9999628,0.3145671,0.10955543
2.389141,0.99996424,1.1247818,0.07668703
2.2898414,0.9999678,1.651108,0.09380589
3.324522,0.9999349,2.48616,0.090011574
2.2094395,0.99997306,-2.963837,0.10404787
2.8882847,0.9999633,-2.3380194,0.06851823
2.9778233,0.99998105,-1.6784059,0.06933232
2.6177044,0.9999963,-1.1768978,0.07348086
2.8434727,0.9999937,-0.70269513,0.059175078
2.7780151,0.9999956,-0.07019472,0.12297041
2.1235118,0.9999949,0.5787804,0.09371175
3.0205705,0.99999166,1.1314762,0.116681516
1.9320065,0.99999106,1.6196806,0.11717761
3.592384,0.9999006,2.2515733,0.18632858
3.2362866,0.99956757,2.866701,0.09924658
3.1541154,0.99944466,-2.964877,0.14852615
2.7992501,0.99883753,-2.5465393,0.06272126
3.3296165,0.9996613,-2.1184778,0.10818412
1.9005055,0.9996705,-1.5431179,0.1374008
1.669494,0.999694,-1.0875347,0.087232605
2.8099802,0.99956626,-0.5242748,0.1088462
1.3713992,0.9996369,0.1918559,0.09196923
1.6905496,0.9995363,0.8216748,0.12708034
1.3926564,0.99967647,1.7362382,0.10127276
3.088373,0.9993717,2.2842515,0.08801816
2.2569587,0.99967885,-3.1201859,0.043755297
2.6170154,0.9993979,3.0988724,0.0737159
3.3190374,0.99904174,3.1354778,0.032283835
3.366508,0.9998179,-2.374932,0.10395292
3.6036706,0.9996946,-1.8550099,0.085852236
2.3370357,0.9997955,-1.439377,0.12900914
3.0473323,0.9997937,-0.8475363,0.21653421
2.5599563,0.99917597,-0.44127655,0.12444281
2.5309286,0.9993012,-0.25053787,0.14743885
2.640963,0.99928457,0.14435673,0.109112516
2.7023351,0.9991067,0.49785352,0.09341847
2.6221464,0.99925894,0.97694564,0.15345728
2.5211802,0.99967206,1.422333,0.10816002
2.631452,0.99947864,1.8696697,0.100969635
2.6676571,0.9990086,2.013243,0.101769015
3.836093,0.9989002,2.3777487,0.061034273
4.1882677,0.99782866,2.6650455,0.07800928
2.7976375,0.9991578,-2.740089,0.18229339
1.9617805,0.99904805,-1.8669314,0.14238252
2.673619,0.99947256,-0.89841413,0.13581073
3.3824615,0.9964018,0.31727862,0.11273133
2.36154,0.99442333,1.5558827,0.084630065
2.9275155,0.9972146,2.7059267,0.16677438
3.4746723,0.9977387,-2.3516793,0.11995918
3.578366,0.99313366,-1.4432441,0.13687833
3.4731283,0.9991868,-1.695221,0.16181682
3.199315,0.99740666,-1.3388249,0.12281687
3.422556,0.99757475,-0.60763025,0.1648561
2.8718152,0.9989159,0.028936386,0.08629088
2.6182666,0.9970952,0.46869326,0.040300723
2.865631,0.9931376,0.4631071,0.013435432
