t (us),Omega_x (2pi MHz),Omega_y (2pi MHz),Omega_z (2pi MHz)
0.00027688796,79.6770065649102,7.181547594082035,0.0
0.000484152,79.70390556995605,6.876586208747506,0.0
0.00042663084,77.97052040420388,17.905249199283258,0.0
0.0003133376,78.14386886057069,17.132885352232336,0.0
0.0003096843,78.90792971422991,13.173406135277258,0.0
0.00036926544,79.1272804328846,11.784459779151756,0.0
0.00040707926,74.13086490057968,30.076816156016424,0.0
0.0004103899,79.99536289438322,0.8613456836511634,0.0
0.00033656065,48.79993398105784,-63.39216390402842,0.0
0.00038403634,37.05078936788763,-70.903025381201,0.0
0.00035700767,9.970325040729158,-79.37627239656078,0.0
0.0002108588,20.26252613767627,-77.3914080212448,0.0
0.0002949548,38.85003827969918,-69.93335775334054,0.0
0.0002952223,37.187851990157135,-70.83123368506986,0.0
0.00025186423,38.35529342956416,-70.20592187930332,0.0
0.0003727836,34.00058873853727,-72.41519154447954,0.0
0.0004147589,37.54789489093022,-70.64103333226704,0.0
0.00034179218,45.48449437383599,-65.81155500781979,0.0
0.00037028114,7.0918836549617374,-79.68503741114323,0.0
0.00033304343,2.324487428194933,-79.96622261421989,0.0
0.0002523044,-8.380721683324007,-79.55981086614943,0.0
0.0003119784,18.042290776923224,-77.9389231675147,0.0
0.000299379,42.77108666240112,-67.60646527299133,0.0
0.00030463818,-4.943732908351372,-79.84710079847416,0.0
0.00025923844,-27.801721822587513,-75.01376050225898,0.0
0.00026612837,-30.78869915597667,-73.83803901292049,0.0
9.342546e-05,30.403161579791707,-73.99762000864546,0.0
0.00014007105,-43.21778888056221,-67.32178492335123,0.0
0.00026190717,-38.05009348630066,-70.37180107596073,0.0
6.0939034e-05,21.901908895111568,-76.94352726344849,0.0
0.00024432276,-38.88721463530938,-69.91269225897533,0.0
0.0003993062,-73.97510559406783,-30.45790132851117,0.0
0.00012872856,44.89893629650442,-66.21242723562735,0.0
0.00013174576,40.24002378178783,69.14289903548996,0.0
0.00015378075,79.45363464590454,9.333806433922033,0.0
0.00014672118,34.377044108110034,-72.23723997620525,0.0
0.00019389502,78.26867844298498,-16.55336750571997,0.0
0.0002107744,71.708397078218,35.466967582011094,0.0
0.00011964709,74.65827585096697,28.74268338119685,0.0
0.00019310386,69.29888301104447,39.970799521805674,0.0
0.00011941232,79.18774370047555,11.371070689192017,0.0
8.5609994e-05,79.86580414924104,4.631773805560851,0.0
9.314336e-05,76.99136256011755,21.73315651550271,0.0
0.00018599557,75.85022774601472,25.431141379586272,0.0
9.2277565e-05,77.05920593040081,21.49136529787928,0.0
0.00018017624,75.37414599104028,26.80929161899202,0.0
0.0001574439,79.27159907451917,10.770960085317276,0.0
0.00011711476,73.13447896620491,32.42449671671929,0.0
0.00017878092,70.94826838070392,36.964080061194764,0.0
0.000108640656,73.32949123682654,31.981021183492352,0.0
0.00019492651,69.57982375064391,39.47971792984517,0.0
9.4055904e-05,69.34668294618218,39.88781224073958,0.0
0.00017586211,53.88531960052482,59.13013049655907,0.0
0.0002642283,52.35535984105883,60.48897665611523,0.0
7.806539e-05,38.16987228876192,70.3069047139071,0.0
0.00019350786,9.67715294744536,79.41254757166878,0.0
0.00025431748,13.080877828194595,78.92332124432332,0.0
0.00024488298,-40.39691068892408,69.05135485840881,0.0
0.00025828966,21.777707567329774,76.97877275004242,0.0
5.3638676e-05,37.70055595794648,70.55967744719752,0.0
0.00011602956,29.387598406877558,74.40678101401038,0.0
0.00015911192,-14.491334104329294,78.67656091154157,0.0
0.00015947796,-28.778531098779098,74.64446495747299,0.0
7.884735e-05,-3.4764784502345383,79.9244274210073,0.0
0.00012223789,4.080068566899288,79.89588876456791,0.0
0.00021242976,-14.799985155149653,78.61908445408251,0.0
0.00011282763,22.08219262581305,76.89198118027196,0.0
0.00014936637,38.05593966723445,70.36863972704474,0.0
0.0001737534,41.14592810915296,68.60767159018899,0.0
0.00012310063,52.32641578754039,60.51401665581498,0.0
0.00019915584,44.91728375105703,66.19998203487548,0.0
0.00013266991,55.76893958463492,57.35699938626626,0.0
0.00015918883,60.19896998132059,52.68855676690026,0.0
0.0002123772,55.952219911530804,57.178222147619316,0.0
0.00018572992,61.690203625811655,50.93445570138846,0.0
0.00010366918,50.3092340787947,62.20113316810113,0.0
0.00014477289,49.34614631704961,62.96791122982514,0.0
5.998539e-05,56.97912112420413,56.15496199717424,0.0
0.000170378,58.287598191091114,54.795582833881056,0.0
0.00024134322,55.91067803314872,57.21884377427063,0.0
0.00016777788,47.395478993517656,64.44896098437766,0.0
0.00019161595,46.45971011912667,65.12676359713821,0.0
0.0002647,56.27545702654813,56.86011728306531,0.0
7.9611076e-05,60.79912019793117,51.994874594986065,0.0
0.00011338838,54.04649666721268,58.982846650460814,0.0
0.00014641676,46.83900268179962,64.85451278642972,0.0
0.00014311416,60.118263657232646,52.780625004164825,0.0
0.00015767635,68.83468577911688,40.765009931079994,0.0
0.00018937871,76.3092562000028,24.018688956584235,0.0
0.00016569615,76.34575283167005,23.90242718964649,0.0
0.00015060189,78.76739287182335,13.98920373597589,0.0
0.0001826658,74.89233148447805,-28.12718766264888,0.0
0.00015629196,64.82327931194308,-46.88221901997197,0.0
0.00013543012,47.30049895850916,-64.51870115917463,0.0
0.00015482266,44.615631290192866,-66.4036553630022,0.0
0.00012246135,41.203206421931476,-68.57328766759336,0.0
0.00016205345,19.493269211607704,-77.58873923730553,0.0
9.402778e-05,16.40519571434311,-78.29986944155722,0.0
0.00013699383,14.041251429178981,-78.75813138523151,0.0
0.00027934377,7.909052062932906,-79.60808311004999,0.0
0.00025280047,11.824748133963386,-79.12126978606409,0.0
0.00017738366,7.0886057028133065,-79.68532907744594,0.0
0.00026633407,10.563473311169863,-79.29951470592371,0.0
0.0001878905,-6.899349391204486,-79.70193836393751,0.0
0.00016431841,-40.46053589227782,-69.01409302671814,0.0
0.0002766892,-55.05714740441475,-58.040593731278754,0.0
0.00015512279,-51.59690182053906,61.13722044313481,0.0
0.00010451025,-8.665571182980008,79.52928942888597,0.0
0.00013237195,-8.20152670580777,79.57848302578235,0.0
0.00018512721,-20.929823913753083,77.21361584545888,0.0
0.00025063337,-44.223150630365616,66.66568044589961,0.0
0.00029174404,-35.289975329875396,71.79566590127564,0.0
0.00026113333,-36.60156361418434,71.13596517927921,0.0
0.0002550439,-41.04079096011847,68.67061582917883,0.0
0.0002752589,-47.74438142136107,64.19091870103122,0.0
0.00017586877,-41.87229492056146,68.16678750738023,0.0
0.0002832855,-45.83852765417708,65.56545876822682,0.0
0.00030039594,-41.56501602458845,68.35458612168253,0.0
0.00021275663,-33.182039972821194,72.79390238359875,0.0
0.00013102748,-51.174155046407776,61.491510440686255,0.0
0.00012539627,-23.39840597367705,76.5017293849087,0.0
9.507327e-05,-23.616832624773817,76.43458129514563,0.0
0.00011537466,-79.22310755186477,-11.122015591450763,0.0
0.00024787209,33.6332787811855,-72.58651775238887,0.0
0.00025744346,30.456462719911837,-73.97569789857631,0.0
0.0003069089,18.677207688099497,-77.78921463780442,0.0
0.00039777704,27.03702055476567,-75.29275875216678,0.0
0.00019933062,45.95854596265447,-65.48138708052377,0.0
0.00035146414,53.255017892299165,-59.69843440394148,0.0
0.00027229264,79.78530931438553,-5.85699740469758,0.0
0.00023802121,67.17361116651911,43.44773830523411,0.0
0.00029421088,52.22127203723429,60.6047749587768,0.0
0.00021718285,31.319994697178664,73.61425088364011,0.0
0.00028993876,30.866581705889786,73.80551561221179,0.0
0.0003539513,22.7557388494979,76.69534764510986,0.0
0.00037994358,20.665916296037448,77.28466797907579,0.0
0.00038846786,7.716152470365895,79.62701169857421,0.0
0.0003175458,2.8162691033838905,79.95041356571042,0.0
0.00037915757,4.22722453541953,79.88823801860919,0.0
0.00032474365,-6.867929943560911,79.70465192999181,0.0
0.0003693403,-12.064621656960567,79.08504855701365,0.0
0.00038755665,-17.83468607865859,77.98669100216081,0.0
0.00043731122,-27.324007488391405,75.18908574896452,0.0
0.00039600855,-39.63204031235404,69.49317507259798,0.0
0.00039694467,-39.343284016819354,69.65705997070717,0.0
0.00029220423,-34.48505632438741,72.1857388359684,0.0
0.00022915573,-34.41651885963188,72.21844106996087,0.0
0.00029110306,-21.09126224338487,77.1696744710743,0.0
0.00031914143,-8.920810941588115,79.50106372329398,0.0
0.00022065472,7.295320392534631,79.66666995275425,0.0
0.00022983251,15.305562961856905,78.52222451899489,0.0
0.00045665156,18.733455946288615,77.77568790630701,0.0
0.0002810896,26.267085183260573,75.56480819115563,0.0
0.00032957108,41.143297619693726,68.60924909928772,0.0
0.00037803472,40.691379684925096,68.87823763953367,0.0
0.0002929024,39.50559760824864,69.56513321058148,0.0
0.00022116437,53.95248072191886,59.068856641565205,0.0
0.00017062438,78.96553471169203,12.823584861003951,0.0
0.00018690688,73.3127166817631,-32.0194561748063,0.0
0.00019844646,65.05043208884567,-46.566525380849356,0.0
0.00021308086,50.084569891538486,-62.382175817860066,0.0
0.000157587,34.113512835837106,-72.36206356226987,0.0
0.0002599581,55.23456311146267,-57.87178102388638,0.0
0.0003102701,58.98046315143385,-54.049097748557855,0.0
0.00022864969,48.55710664153783,-63.57835634548231,0.0
0.00024199295,50.9184549488983,-61.70341114239814,0.0
0.0003560639,48.26960384376626,-63.796907023433924,0.0
0.0002248399,63.92408103072631,-48.10105887990351,0.0
0.00018502618,51.74032011966657,-61.01589362539268,0.0
0.00027513143,58.99155922837408,-54.03698678494241,0.0
0.00019455272,72.0018839057907,-34.867301516002726,0.0
0.00017348141,79.21912363026341,-11.15035659716088,0.0
0.00018578631,79.51291525163609,8.814550991227255,0.0
0.00024035691,17.923398818715697,77.96635027866874,0.0
0.00028111058,15.634400890573309,78.45741207676716,0.0
0.0004147005,7.087404209883707,79.68543595009399,0.0
0.0003023799,8.797497627743182,79.51480388255172,0.0
0.00032841103,15.830441265608709,78.41809185594177,0.0
0.00037069438,35.78963729017682,71.54789908605558,0.0
0.00028917578,37.88595547857641,70.46030356495872,0.0
0.00025667946,43.94571682801032,66.84888909670181,0.0
0.00031148863,37.65096494002947,70.58615190018139,0.0
0.000321265,-56.03800874989049,57.09414660311515,0.0
0.00030643417,-67.33411622733138,43.19857396807257,0.0
0.0004491359,-77.75657724980658,18.812620641092746,0.0
0.00051005767,-76.11152370937211,24.63809975685008,0.0
0.00014764968,-73.4503585372709,31.70244204690175,0.0
0.00012736258,-68.4386394290206,41.42647262434151,0.0
0.00012627333,-77.3872969066441,20.278221777900562,0.0
0.00013876495,-57.059680226635834,56.07310311927522,0.0
7.008411e-05,-47.03298536736981,64.71397289939465,0.0
7.704823e-05,-72.32574437547471,34.19044751863151,0.0
0.00033556175,13.91370396850703,-78.78076442170106,0.0
0.00030619995,65.31666605575,-46.19234932705246,0.0
0.00012295821,74.73304755155475,-28.547707520007,0.0
0.00017196953,75.65904397461802,-25.994404510156134,0.0
0.00014362897,74.81771559274794,-28.32506724570108,0.0
0.00020670747,79.99605976983918,-0.7939913671610795,0.0
0.00025304587,78.44323899616937,-15.705357582069286,0.0
0.0002611109,61.26390265560829,-51.4464209872267,0.0
0.0002929138,38.52465070973208,-70.11313207013325,0.0
0.00031145217,39.42834745146387,-69.6089463951111,0.0
0.00022504665,1.8918680457113841,-79.97762709838561,0.0
0.0002448785,23.983408380394042,-76.32035196099434,0.0
0.00021930633,3.585119553472321,-79.9196278693671,0.0
0.0002726379,12.333658932320642,-79.04353773922315,0.0
0.0001729842,26.583338400947472,-75.45413256046034,0.0
0.0003388947,15.895657398088682,-78.40489829642914,0.0
0.00024844042,19.19406300723234,-77.6632985796071,0.0
0.00034301367,10.802957099528607,-79.26724493065565,0.0
0.00025617177,18.402967201023767,-77.854548994833,0.0
0.00018782025,28.679023845685023,-74.68275297717297,0.0
0.00018138252,1.3405551570732983,-79.98876741681705,0.0
0.00016684605,24.311151652518376,-76.21658550682432,0.0
0.0001438115,3.081046364542888,-79.9406476974658,0.0
0.00026269897,21.163985755289968,-77.14976155465868,0.0
0.00020343496,4.683895933793494,-79.86276428894884,0.0
0.00025109123,-14.607101020058751,-78.65514986814662,0.0
0.00016086074,-24.99359612636281,-75.99552719511242,0.0
0.00013088546,-63.813502870433794,-48.24766162619642,0.0
0.00013759067,-32.6407898382843,-73.03820123554361,0.0
8.035843e-05,-44.40058004302007,-66.54764077586955,0.0
0.00033631682,-77.99210452181782,-17.810997536596663,0.0
0.00020375884,-72.15429658574892,-34.55079572465141,0.0
0.0002948251,-78.78963921799608,-13.86336008653101,0.0
0.00011985779,-7.925639166571219,-79.606433438461,0.0
5.6702618e-05,15.60660769325764,-78.46294537741723,0.0
0.00016045848,33.81767782392236,-72.50079080664015,0.0
0.00019018682,78.65820726591475,-14.590628180554903,0.0
0.00016002326,64.504700176733,-47.31959061636723,0.0
0.000103985825,74.86574233575298,-28.197883351547002,0.0
0.0001942325,78.29178410926737,-16.4437386861589,0.0
0.00014949331,79.28811350102683,-10.648711585872492,0.0
0.00024848914,72.52661675852781,-33.7622549980365,0.0
0.00023276523,78.09534322282389,-17.352733729880796,0.0
0.00011803905,66.85733009542359,-43.93287394995206,0.0
0.0001673043,71.5729301688207,-35.73955327140958,0.0
0.00014916375,78.30396248636121,-16.385647986129353,0.0
0.00017304937,79.98900108283345,-1.3265393930357492,0.0
0.00018076466,79.84706174384652,-4.944363646129823,0.0
0.00013304733,79.10808779222927,11.912617128396082,0.0
0.00020221244,79.25477942052474,10.894032311076383,0.0
9.993557e-05,73.9807097006516,30.444286708325457,0.0
0.00014375748,67.87219713671426,42.34813876459985,0.0
0.00017598264,58.40749028200397,54.6677700290438,0.0
0.00017847371,46.14360180551325,65.35111332949916,0.0
0.0001794203,44.28294379894141,66.62597758750415,0.0
0.00019196363,39.22478296642535,69.72385819952619,0.0
0.0001921888,51.8026415147289,60.9629915037582,0.0
8.0748076e-05,43.10459613793627,67.39431573045472,0.0
0.0002108496,16.018219837130484,78.37995046081726,0.0
0.00023060103,18.92736381371983,77.72872635039055,0.0
0.00023758825,12.643728045134013,78.99453235579979,0.0
0.00015086702,7.424027865379309,79.65477896049225,0.0
0.00026233,-11.509296950520918,79.16777175527639,0.0
9.497159e-05,6.360491665881343,79.74675007020073,0.0
0.00019707857,-3.762185088343732,79.91148831270665,0.0
0.00022778445,11.253800385481139,79.20449468227515,0.0
0.00015364737,10.727244791960349,79.27752657698251,0.0
0.00018537862,43.363611116398815,67.22794978233786,0.0
0.00011619549,41.45853656031025,68.41922059822244,0.0
9.666123e-05,48.528629837489575,63.60009502419572,0.0
0.00017774399,60.1798192543156,52.71042928594599,0.0
0.0001583299,59.30671709429036,53.69090526791866,0.0
0.00013422692,65.31018482604932,46.201512518294074,0.0
0.00012304047,66.61672033612892,44.29686865511823,0.0
8.2555736e-05,67.72706982865914,42.5798545490087,0.0
0.00026367686,67.45289296626447,43.0128728576978,0.0
0.00015858658,67.34729676126643,43.17802241813211,0.0
