0,1,2,3
1.5942402,0.9997981,-2.8122,0.11035894
2.4597526,0.99965096,-2.6152751,0.08359794
2.6805825,0.9980527,-2.325329,0.020222273
1.5499392,0.9993057,-2.3069842,0.042859748
0.23798084,0.9993709,-2.3152306,0.042447805
3.9234524,0.35424918,2.1377537,0.035328772
-1.5055895,0.9989004,-2.069292,0.049313862
0.5209093,0.9996401,-2.0376272,0.06765403
0.6735368,0.9987747,-1.8213958,0.11744426
1.3830147,0.9987816,-1.637289,0.05465979
-1.0790417,0.99841034,-1.5025767,0.06262721
-1.3722503,0.9963806,-1.6411397,0.07512513
2.9129734,0.97015566,-1.3023592,0.07994858
-2.5576787,0.99521255,-1.251557,0.077161714
0.26667166,0.97888684,-1.3549223,0.05197621
0.23919964,0.9814493,-1.2417316,0.045918345
0.9108658,0.9499428,-1.2450018,0.032381408
2.2867336,0.2435108,-0.8017502,0.03669746
-0.85976887,0.98813826,-1.0146933,0.05314518
1.4664183,0.97519547,-1.0395665,0.05944493
3.5163012,0.99218094,-0.4061165,0.22494163
3.1631002,0.962201,0.65578794,0.20135123
2.7307134,0.98059857,1.2189443,0.06692359
-0.38967514,0.045515124,-2.83898,0.0012693272
2.6703968,0.07576049,-3.061543,0.019635193
0.79642296,0.18704379,-2.964367,0.0007363705
1.6967721,0.4835597,-3.103346,0.0072501083
1.1947541,0.9762359,1.4758914,0.028728826
2.9024296,0.989141,1.4985397,0.094589986
1.4528203,0.58151764,-3.0254848,0.00294867
2.598978,0.72819215,-3.1183913,0.025623774
2.4187617,0.8164789,-3.0975885,0.02852928
0.16719818,0.7348951,-3.0309825,0.0028630716
-0.9746046,0.9324962,-3.1011028,0.03391169
-1.9412472,0.6880245,1.7947834,0.008902501
0.019765377,0.31860027,-2.872237,0.0030035973
0.594017,0.7973925,-2.9991827,0.0036623676
0.35112,0.79868823,2.0032537,0.004776081
-2.4556746,0.8985718,2.0603054,0.008217833
-3.400148,0.82451427,1.6814964,0.12869832
-3.8874004,0.89377964,0.2820363,0.45349935
-2.0904498,0.9683229,-0.95230913,0.07984979
-1.2899697,0.9820771,-1.1426195,0.053452775
-1.7362099,0.99033785,-1.5392046,0.15595275
-0.78532934,0.9560639,-1.4474093,0.10616597
-0.7706251,0.9182214,-1.0803604,0.105338104
-2.7197826,0.8419903,-0.037809134,0.16139951
-2.9248939,0.7518024,-1.3703524,0.11183112
-2.0162537,0.79639345,-1.0608773,0.0895733
-3.3283339,0.82754856,-2.5022223,0.31563103
-4.184699,0.9928053,1.2636034,0.45004097
-2.6116602,0.98033077,0.4035759,0.061282493
-3.5917282,0.99823844,0.16658664,0.085942894
-1.5485878,0.9993724,-0.11512637,0.10304843
-2.104381,0.9997402,-0.394948,0.12971215
0.9178977,0.99969137,-0.5129113,0.08093443
1.1736012,0.9992853,-0.59324,0.10224293
1.5780072,0.9996463,-0.5403948,0.11326131
1.4113922,0.99949,-0.39118767,0.11343808
-2.015102,0.99927264,-0.59020543,0.0944238
2.6857367,0.99885,-0.50835705,0.10700037
2.2718763,0.99851173,-0.5435283,0.11053338
-0.04393387,0.9990717,-0.43519926,0.047973294
1.6407499,0.9967194,-0.45150018,0.045675423
-0.13637924,0.99745804,-0.23336291,0.052808776
2.3504686,0.9978485,-0.32143188,0.13203593
0.9084158,0.9975434,-0.21697307,0.08366746
-0.51507854,0.99718237,-0.3264494,0.061379712
0.51766014,0.99790645,-0.27998543,0.077969424
-2.1260853,0.9971807,-0.34133625,0.091136634
-1.6673193,0.99724245,-0.49318743,0.068716444
-1.9008784,0.9969885,-0.6158707,0.101979926
-3.585658,0.97672606,-1.031256,0.1575272
-2.3830428,0.97959614,-1.6591425,0.12290851
-2.3937037,0.98092836,-2.0478325,0.10753636
-3.9743528,0.7741929,3.0195763,0.15838934
-4.2396584,0.78143007,1.8373067,0.38939136
-2.3922577,0.8823731,-0.2911551,0.11523596
-1.9122643,0.967602,-0.40265036,0.09383998
0.8207655,0.9192135,-0.3119135,0.03337709
0.080638885,0.80300796,-0.08629322,0.04547169
1.7509928,0.9370555,-0.26663852,0.054545928
-1.2352839,0.46482658,-0.62767386,0.054357957
-1.9001567,0.72382814,-0.1544776,0.08489441
1.1100082,0.5506403,0.030658722,0.06931208
0.7220769,0.4953251,1.8888805,0.09478736
0.48466873,0.12902214,-1.9639183,0.036622927
-2.2875547,0.81740695,2.0945785,0.25082356
-2.4331622,0.9768942,1.9209173,0.14866966
0.8871231,0.9855444,1.6775086,0.094187096
-3.0538213,0.9943904,1.346493,0.25474882
0.45007133,0.99667114,1.4303448,0.069506995
0.15940142,0.99598074,1.3372977,0.07486125
-1.8263535,0.98897177,1.451834,0.11517512
-2.8556273,0.9966625,1.0670536,0.19190846
-2.9710946,0.9804041,0.53507686,0.16815978
-2.3984697,0.690382,0.045909643,0.25141066
-0.3488598,0.3248199,2.8922536,0.014730593
-0.48962164,0.8241369,-1.3146809,0.069236845
-1.499677,0.48872232,2.980314,0.038300414
-1.1007156,0.7039043,2.9145987,0.014311272
-0.33468628,0.24790189,2.1011255,0.0037911688
1.2305946,0.69990194,2.8361843,0.031862386
1.0729809,0.22633326,2.7363942,0.026943352
2.2873755,0.8622883,-2.616827,0.037781604
-1.7431612,0.8388543,2.8001912,0.039333098
-1.1674099,0.894851,2.875332,0.034732666
1.0060492,0.9540423,2.9973342,0.065537065
2.7649288,0.98172057,3.1104586,0.11912679
3.8460007,0.9913406,-1.6624353,0.2934094
2.97015,0.9990613,-0.5040271,0.3092515
-0.92892647,0.9995202,0.0053827763,0.18686265
2.713018,0.9996265,0.7054608,0.3707704
0.73582697,0.9995609,1.411752,0.30840272
1.8653111,0.99974555,2.037907,0.30101904
3.6005297,0.99928844,-3.0921137,0.45513955
2.1359386,0.9990226,-2.1161218,0.17513284
2.0930429,0.9991603,-1.7276266,0.1127681
0.15866375,0.9991235,-1.6580027,0.0737828
1.9743519,0.99846727,-1.5129527,0.08371446
-3.6382463,0.99862385,-1.4560852,0.13257465
