t (us),Omega_x (2pi MHz),Omega_y (2pi MHz),Omega_z (2pi MHz)
0.00027688796,79.807846,5.541461,0.0
0.000484152,79.67804,7.170065,0.0
0.00042663084,78.03342,17.62913,0.0
0.0003133376,78.135315,17.171864,0.0
0.0003096843,78.751205,14.080062,0.0
0.00036926544,78.817535,13.703843,0.0
0.00040707926,74.89212,28.127747,0.0
0.0004103899,79.99336,-1.0304548,0.0
0.00033656065,52.709713,-60.180443,0.0
0.00038403634,38.347874,-70.20998,0.0
0.00035700767,11.842367,-79.11864,0.0
0.0002108588,23.200457,-76.562,0.0
0.0002949548,39.62233,-69.49871,0.0
0.0002952223,37.784275,-70.514885,0.0
0.00025186423,37.130222,-70.86146,0.0
0.0003727836,32.76544,-72.98237,0.0
0.0004147589,36.500526,-71.18787,0.0
0.00034179218,43.397263,-67.20623,0.0
0.00037028114,11.669759,-79.14428,0.0
0.00033304343,6.1480274,-79.76341,0.0
0.0002523044,-3.0612848,-79.94141,0.0
0.0003119784,16.275139,-78.32701,0.0
0.000299379,36.99657,-70.93133,0.0
0.00030463818,-7.6050415,-79.637695,0.0
0.00025923844,-31.593151,-73.49744,0.0
0.00026612837,-32.7708,-72.97996,0.0
9.342546e-05,79.22326,-11.12096,0.0
0.00014007105,-58.60361,-54.457478,0.0
0.00026190717,-46.694466,-64.95866,0.0
6.0939034e-05,63.108284,49.166496,0.0
0.00024432276,-47.104515,-64.66193,0.0
0.0003993062,-74.14335,-30.046032,0.0
0.00012872856,11.062617,-79.23142,0.0
0.00013174576,40.602043,68.93094,0.0
0.00015378075,74.936775,28.008558,0.0
0.00014672118,12.6512165,-78.99333,0.0
0.00019389502,74.848015,-28.244917,0.0
0.0002107744,71.05828,36.752163,0.0
0.00011964709,76.77035,22.501408,0.0
0.00019310386,69.150696,40.226624,0.0
0.00011941232,78.14221,17.140453,0.0
8.5609994e-05,79.870186,4.5555634,0.0
9.314336e-05,78.88639,13.301791,0.0
0.00018599557,74.71779,28.58762,0.0
9.2277565e-05,78.77536,13.944274,0.0
0.00018017624,73.77219,30.946157,0.0
0.0001574439,79.70775,6.8318787,0.0
0.00011711476,71.00314,36.858566,0.0
0.00017878092,71.10732,36.657173,0.0
0.000108640656,74.00858,30.376461,0.0
0.00019492651,69.22869,40.092243,0.0
9.4055904e-05,75.27326,27.091255,0.0
0.00017586211,55.604725,57.516212,0.0
0.0002642283,48.31991,63.758816,0.0
7.806539e-05,49.23988,63.05105,0.0
0.00019350786,9.41304,79.44428,0.0
0.00025431748,11.130844,79.22187,0.0
0.00024488298,-38.65331,70.04228,0.0
0.00025828966,2.58531,79.95821,0.0
5.3638676e-05,79.90887,-3.8174434,0.0
0.00011602956,8.350855,79.56295,0.0
0.00015911192,-0.78268105,79.99617,0.0
0.00015947796,-27.172676,75.243904,0.0
7.884735e-05,-25.982246,75.663216,0.0
0.00012223789,18.104061,77.9246,0.0
0.00021242976,-21.245365,77.12739,0.0
0.00011282763,23.922382,76.3395,0.0
0.00014936637,30.418915,73.99115,0.0
0.0001737534,45.17974,66.02114,0.0
0.00012310063,49.237595,63.05283,0.0
0.00019915584,48.265835,63.79976,0.0
0.00013266991,50.403244,62.12498,0.0
0.00015918883,61.64568,50.988335,0.0
0.0002123772,55.436436,57.678432,0.0
0.00018572992,62.874535,49.46506,0.0
0.00010366918,45.524284,65.78404,0.0
0.00014477289,50.602585,61.96272,0.0
5.998539e-05,60.51887,52.3208,0.0
0.000170378,56.316933,56.81904,0.0
0.00024134322,56.284264,56.851402,0.0
0.00016777788,48.523174,63.604256,0.0
0.00019161595,43.515224,67.12991,0.0
0.0002647,56.312717,56.82321,0.0
7.9611076e-05,63.933186,48.088955,0.0
