0,1,2,3
2.8132443,0.9999968,-2.9654355,0.096660055
3.5247984,0.9999962,-2.6531844,0.1057997
2.6256056,0.99998593,-2.4102721,0.050964803
2.7040348,0.9999838,-2.2533865,0.033170477
0.733984,0.9999913,-2.3128233,0.033732496
4.420002,0.07474398,2.1475387,0.0136936875
-0.99077034,0.9999398,-2.127451,0.02725152
1.1181884,0.9999733,-2.1213608,0.03226429
1.3003702,0.9999585,-2.1235545,0.0937228
0.9447918,0.9999759,-2.0197024,0.04346725
-0.05995941,0.9999813,-1.9692072,0.048117857
-1.2502222,0.9999329,-1.8738883,0.025659494
3.5083838,0.9991405,-1.8177568,0.07098956
-1.1078138,0.99993443,-1.6531147,0.03746555
0.77752876,0.9993443,-1.7412565,0.02868796
1.448133,0.9992181,-1.4872712,0.021764502
1.6790676,0.99685824,-1.5228053,0.029735554
2.6081424,0.9498285,-1.4229261,0.031038465
0.19004059,0.996516,-1.3740866,0.009814337
2.7991552,0.98968655,-1.5578928,0.04334322
3.721655,0.99667335,-1.9318556,0.21693854
4.202173,0.5584334,0.3494208,0.277342
2.8110209,0.9698322,1.7097306,0.04690079
0.012659073,0.03036715,-3.0252512,0.00020772344
2.928441,0.13415927,-3.1222222,0.01929771
1.1937957,0.19388872,-3.0770164,0.00014520728
2.359624,0.547376,-3.14295,0.0045370236
2.7162714,0.9878028,1.6948972,0.024925943
3.1116428,0.99763954,1.2283382,0.07795896
1.3125491,0.71327955,-3.1407428,0.0010908355
2.9213529,0.7363411,-3.1458597,0.0129030645
2.1585035,0.9246931,-3.1422892,0.011170486
0.5408025,0.80452603,-3.132459,0.00069624255
-0.61369324,0.9504875,-3.1416404,0.007556066
-2.5022075,0.9502727,1.4320145,0.009594349
0.07531214,0.4780045,-3.113163,0.00015470381
0.23210478,0.8538564,-3.1355429,0.00086899044
0.2603383,0.98038155,1.4637723,0.003474225
-2.3763375,0.9965184,1.6131554,0.011607421
-3.3589265,0.9685065,1.1776748,0.10641854
